head,type,tail
MM,drug used for treatment,Single targeted antigen
Abies faxoniana,parent taxon,alpine coniferous forests
Abies georgei,parent taxon,alpine coniferous forests
elevation,has part,air temperature
soil moisture,has part,soil N availability
soil N availability,part of,soil moisture
C allocation,facet of,root morphology
γ aminobutyric acid,subclass of,short chain fatty acids
GABA,has part,B. licheniformis
B. licheniformis,subclass of,GABA
Agaricomycetes,parent taxon,Basidiomycota
Choreoacanthocytosis,has cause,vacuolar protein sorting associated protein A
vacuolar protein sorting associated protein A,has effect,Choreoacanthocytosis
Sanger sequencing,subclass of,whole exome sequencing
exon 69,part of,VPS13A
VPS13A,has part,exon 69
VAPA,part of,VPS13A
VPS13A,has effect,ChAc
ChAc,has cause,VPS13A
β microseminoprotein,subclass of,kallikrein
Cox regression,instance of,univariate
free to total PSA ratio,facet of,PSA
c index,facet of,Discrimination
free to total ratio,facet of,adverse oncologic outcomes
Woody species,uses,carbon (C) storage processes
carbon (C) storage processes,used by,Woody species
L. edulis,different from,Q. glauca
Q. glauca,different from,L. edulis
photo assimilate,subclass of,C source
tandem accelerator,has part,magnet
interferometric mass spectrometry,uses,quantum interference
Interf MS,follows,AMS
AMS,followed by,Interf MS
HCC,subclass of,NAFLD NASH
Altered hematopoietic stem cell,subclass of,blood disorders
prkcda,encodes,protein kinase C delta
cxcl8,subject has role,KCK agonist
CXCL8,part of,PKC
PKC,has part,CXCL8
Lassa fever,has cause,Lassa virus
Lassa virus,has effect,Lassa fever
antigenic differences,facet of,phylogenetically distinct LASV lineages
II,subclass of,LASV
V,subclass of,LASV
VII,subclass of,LASV
GP1 A specific antibodies,subclass of,neutralization mechanisms
pan LASV vaccine,has part,LASV
PARPi,has part,BRCA1/2
PARPi naive,opposite of,PARPi resistant
PARPi resistant,opposite of,PARPi naive
PARPi resistant BRCA1 deficient tumors,opposite of,PARPi resistant BRCA2 deficient tumors
PARPi resistant BRCA2 deficient tumors,opposite of,PARPi resistant BRCA1 deficient tumors
HR proficient,has part,BRCA1 deficient tumors
HR proficient,has part,BRCA2 deficient tumors
BRCA1 deficient tumors,subclass of,HR proficient
BRCA2 deficient tumors,subclass of,HR proficient
viral RNA,has part,DNA
Flow cytometry,studies,infection dynamics
infection dynamics,studied by,Flow cytometry
M cell,part of,GI tract
KCs,has part,lanthanum
Jingsong,instance of,industrial strain
SARS CoV 2,has effect,host response
host response,has cause,SARS CoV 2
long non coding maternally expressed gene 3,encodes,long non coding metastasis associated lung adenocarcinoma transcript 1
COVID 19,has effect,COVID 19
complete blood count,has part,chest computed tomography
CRP,has part,oxygen saturation
CRP,instance of,biochemical markers
D dimer,instance of,biochemical markers
COVID 19,has effect,MEG3
Exercise,has effect,metabolism health
metabolism health,has cause,Exercise
moderate intensity,said to be the same as,35 40 min
35 40 min,said to be the same as,moderate intensity
IGF 1,has part,irisin
IGF 1,studied by,bio anthropometric
bio anthropometric,studies,IGF 1
Perfluorination,uses,strained compounds
strained compounds,used by,Perfluorination
perfluorocubane,instance of,Platonic polyhedrane
cubane,instance of,adamantane
fullerene,subclass of,carbon allotropes
graphite,subclass of,carbon allotropes
Salmonella enterica serovar Typhimurium,has effect,T3SS
Compound 2h,subject has role,T3SS inhibitor
InvF,has part,SicA
tumor necrosis factor α,subclass of,pro inflammatory cytokine
positive (=change),opposite of,negative (=stability) feedback mechanisms
negative (=stability) feedback mechanisms,opposite of,positive (=change)
CA1 pyramidal neurons,part of,entorhino hippocampal tissue cultures
entorhino hippocampal tissue cultures,has part,CA1 pyramidal neurons
GluA1,subclass of,AMPA receptor
thyroid hormone transporter,instance of,GWAS
hormone metabolising enzyme,instance of,GWAS
GWAS,field of work,Physiology
motor evoked potentials,part of,axon potential conduction
MDA,has part,MB 231 cells
MB 231 cells,part of,MDA
BR signaling,opposite of,nodulation factor (NF) signaling
nodulation factor (NF) signaling,opposite of,BR signaling
BR signaling,has part,GmBES1 1
GmBES1 1,part of,BR signaling
GmNSP1,subject has role,DNA binding
GmNSP2,subject has role,DNA binding
GmBES1 1,has effect,nodulation
day after rescue ICSI,part of,ICSI
ICSI,has part,day after rescue ICSI
C IVF,subclass of,IVF treatment
IVF,has effect,day after
day after,has cause,IVF
Day after r ICSI,follows,unsuccessful in the past
unsuccessful in the past,followed by,Day after r ICSI
private,different from,academically affiliated
academically affiliated,different from,private
motile sperm,use,C IVF
C IVF,has effect,TFF
conflict of interest,has effect,published in the article
published in the article,has cause,conflict of interest
Ixodes scapularis Say,parent taxon,Odocoileus virginianus
regulated white tailed deer hunting seasons,point in time,autumn
white tailed deer,endemic to,Connecticut
ectoparasite,drug used for treatment,moxidectin
sera,has part,moxidectin
venison,use,human consumption
Zika virus,has effect,microcephaly
Zika virus,has effect,Guillain Barré syndrome
microcephaly,has cause,Zika virus
Guillain Barré syndrome,has cause,Zika virus
cholesterol ester,has part,Cholesterol
atorvastatin,subject has role,inhibitors of autophagy
atorvastatin,medical condition treated,ZIKV
ZIKV,drug used for treatment,atorvastatin
early ,subclass of,autophagy inhibitor
late acting,subclass of,autophagy inhibitor
Bafilomycin,medical condition treated,ZIKV
ZIKV,drug used for treatment,Bafilomycin
LD,subclass of,cholesterol esterification
CPR,has part,defibrillation
functional near infrared spectroscopy,uses,fNIRS
fNIRS,use,functional near infrared spectroscopy
clinical tasks,instance of,coded
PIC,number of participants,4
PIC,number of participants,7
PIC,has part,fNIRS
[medication] dosing,has part,[Rhythm checks
[rhythm checks,part of,[medication] dosing
right PFC,opposite of,left PFC
left PFC,opposite of,right PFC
activated regions,part of,PFC
Seed transmission,has cause,seed maturation
seed maturation,has effect,Seed transmission
Alfamalfa,taxonomic type,Medicago sativa L
Medicago sativa L,parent taxon,Alfamalfa
USDA ARS,subsidiary,National Plant Germplasm System
National Plant Germplasm System,parent organization,USDA ARS
reverse transcription,subclass of,chain reaction
primary care setting,subclass of,clinical psychiatric settings
PRESIDE Trial,instance of,randomizedised controlled superiority trial
side effect profile,facet of,antidepressant medications
Australian and New Zealand Clinical Trial Registry,part of,ACTRN12621000181808
ACTRN12621000181808,has part,Australian and New Zealand Clinical Trial Registry
22 February 2021,point in time,22 February 2021
DNA,part of,loci
loci,has part,DNA
Arabidopsis thaliana,parent taxon,Arabidopsis
Polinski,has part,M. P. et al.
M. P. et al.,part of,Polinski
12915 021 01069 2,publication date,1086
crystal formation,has effect,tubular injury
tubular injury,has cause,crystal formation
carrier polypeptide,subclass of,signal sequences
Evolocumab,subject has role,PCSK9 inhibitor
α SMA,subclass of,Lipo + M
VSMC,part of,ApoE
ApoE,has part,VSMC
synthetic bacterial vesicles,subclass of,engineered vesicle
SyBV,instance of,Immunization
OMV,instance of,Immunization
SyBV,has part,Pseudomonas aeruginosa
Escherichia coli,has effect,E. coli sepsis
E. coli sepsis,has cause,Escherichia coli
T cell,subclass of,B cell
SARS CoV 2,has part,S1 protein
S1 protein,part of,SARS CoV 2
thyroid stimulating hormone receptor,part of,differentiation process
Cancer Genome Atlas,has part,Gene Expression Omnibus
VirtualFlow,use,deep docking
Kir5,part of,inward rectifier potassium channel
PV 000592319198_1,instance of,molecular targeting
Dialysis and Transplant Registry,country,Australia
Hazard Ratio,different from,Confidence Intervals
Confidence Intervals,different from,Hazard Ratio
ACTRN12612000048886,part of,Australian New Zealand Clinical Trials Registry
BaYMV,has effect,BaMMV
BaMMV,has cause,BaYMV
resistant to BaYMV disease,subclass of,BaYMV disease infection
DNA virome,part of,virome
RNA virome,part of,virome
virome,has part,DNA virome
virome,has part,RNA virome
Shigella sonnei,instance of,taxa
Escherichia albertii,instance of,taxa
Klebsiella pneumonia,instance of,taxa
Salmonella enterica,instance of,taxa
Shigella flexneri,instance of,taxa
Campylobacteriaceae,parent taxon,Enterobacteriaceae
virome,has part,RNA
Macrophage,subclass of,effector cell
HMBOX1,subject has role,transcription suppressor
HMBOX1,encodes,RAW264
HMBOX1,subject has role,anti proliferation
HMBOX1,encodes,SLC1A5
Circular RNA,subclass of,covalently closed loop RNA
circRNA,subclass of,RNA
DNA primer,use,PCR
CircPrime,instance of,web platform
Chinese medicinal plant,taxonomic type,Ilex pubescens
N50,subclass of,reads
univariate,part of,Statistical analysis
Student's t test,instance of,Statistical analysis
partial least squares discriminant analysis,instance of,Statistical analysis
1 stearoyl 2 oleoyl sn glycoro 3 phosphorine,instance of,"1,2 dioleoyl sn glycoro 3 phosphorylcholine"
Kyoto Encyclopedia of Genes and Genomes,has part,Gene Ontology
Asia,has part,Middle East
Middle East,part of,Asia
feed cost,subclass of,variable cost
feed conversion ratio,facet of,feed conversion efficiency
feed efficiency ratio,facet of,feed conversion efficiency
cytochrome P450,subject has role,KEGG
selective breeding,subclass of,feed conversion efficiency
low density (LD) single nucleotide polymorphism (SNP) chip,opposite of,high density (HD) SNP chip
high density (HD) SNP chip,opposite of,low density (LD) single nucleotide polymorphism (SNP) chip
HD chip,opposite of,LD chip
LD chip,opposite of,HD chip
EcoRI,subclass of,restriction enzyme
TaqI,subclass of,restriction enzyme
AvaII,subclass of,restriction enzyme
PstI,subclass of,restriction enzyme
20X,subclass of,sequence data
GBLUP,instance of,single step
genomic estimated breeding values,instance of,GEBVs
PstI,has part,TaqI
TaqI,part of,PstI
Spearman correlation,facet of,imputation error
GEV,different from,VTV
VTV,different from,GEV
GraphSNP,use,interactive visualisation
DNA,has part,loci
loci,part of,DNA
topology,facet of,mtDNA
Relationships of Crocidura,facet of,Crocidura
Gansu,shares border with,Sichuan
Sichuan,shares border with,Gansu
Buryatia,parent taxon,Shrew
Khentei,parent taxon,Shrew
Hybridization of C. suaveolens s. str.,facet of,C. suaveolens s. str.
C. aff.,instance of,aff.
C. suaveolens,parent taxon,C. güeldenstaedtii
C. güeldenstaedtii,taxonomic type,C. suaveolens
Inflammation,subclass of,pathologic events
cyclosporin A,subject has role,immunosuppressive drug
CsA,medical condition treated,DR
DR,drug used for treatment,CsA
Philometridae,parent taxon,Nematoda
Priacanthidae,parent taxon,Acanthuriformes
Sciaenidae,parent taxon,Acanthuriformes
congeners,subclass of,parasitising
Epinephelidae,parent taxon,Perciformes
glutathione reductase 1,parent taxon,Arabidopsis
pollen tubes,part of,transmitting tract
transmitting tract,has part,pollen tubes
Virilizer like m,instance of,cell lineages
Crohn's disease,drug used for treatment,treat to target strategy
treat to target strategy,medical condition treated,Crohn's disease
publication date,followed by,publication date
publication date,follows,publication date
biological signs of disease activity,opposite of,clinical parameters
clinical parameters,opposite of,biological signs of disease activity
escalation,subclass of,de escalation
Common data model,facet of,electronic health record
OBO ontologies,instance of,domain expertise
FAIR Principles,main subject,"Findable, Accessible, Interoperable and Reusable"
FAIR Principles,instance of,aspirational
FAIR Cookbook,main subject,FAIR
FAIR Cookbook,main subject,FAIRification
ELIXIR,has part,FAIR Cookbook
FAIR Cookbook,part of,ELIXIR
Antibiotic resistance,subclass of,public health problems
golden age of antibiotic discovery,followed by,decades ago
decades ago,follows,golden age of antibiotic discovery
fitness costs,subclass of,collateral sensitivity
Mediterranean Sea,basin country,Spain
Cala Millor Beach,located in the administrative territorial entity,Mallorca
Cala Millor Beach,country,Spain
Mallorca,located in or next to body of water,Mediterranean Sea
Mallorca,country,Spain
Spain,located in or next to body of water,Mediterranean Sea
GO,use,enrichment analysis
KEGG,use,enrichment analysis
GSEA,use,enrichment analysis
STRING,instance of,protein protein interaction network
Cytoscape,instance of,protein protein interaction network
MCODE,instance of,protein protein interaction network
Cytohubba,instance of,protein protein interaction network
Group Z spinal interneurons,subclass of,spinal cord interneurons
variant burden analysis,subclass of,modelling analysis
intrahepatic cholestasis of pregnancy,subclass of,gallstone disease
frameshift,subclass of,novel LoF variants
premature stop codon,subclass of,novel LoF variants
splice acceptor,subclass of,novel LoF variants
ABCB11,instance of,rare variant
structural alterations,subclass of,Protein modelling
ImageJ,use,Image analysis
3xTg AD mice,facet of,Alzheimer's disease
meiosis,subclass of,DNA replication
nDart1 0,different from,nDart1 homologs
nDart1 homologs,different from,nDart1 0
gibberellic acid,instance of,flavanoid
nDart1 0,part of,Basmati 370
